,JPN119,,Shirataki,Shirataki VI,,,,,,
,MEX033,x,Sierra de Pachuca,Sierra de Pachuca-1,,,,,,
,MEX034,,Sierra de Pachuca,Sierra de Pachuca-2,,,,,,
,MEX035,,Sierra de Pachuca,Sierra de Pachuca-3,,,,,,
,MEX086,,Sierra de Pachuca,Sierra de Pachuca Group General,,,,,,
,MEX015,x,Sierra Fresnal,Sierra Fresnal Group General,,,,,,
,MEX089,,Sierra Fresnal,Sierra Fresnal East,,,,,,
,MEX090,,Sierra Fresnal,Sierra Fresnal West,,,,,,
,KEN082,x,Southern Suguta,Southern Suguta 1,,,,,,
,KEN083,,Southern Suguta,Southern Suguta 2,,,,,,
,chi011,x,Southwest Source,,,,,,,
,chi012,,Southwest Source,,,,,,,
,KEN084,x,Suguta Waterfall,Suguta Waterfall 1,,,,,,
,KEN085,,Suguta Waterfall,Suguta Waterfall 2,,,,,,
,KEN086,,Suguta Waterfall,Suguta Waterfall 3,,,,,,
,TKY034,x,Süphaun Dag,Süphaun Dag I,,,,,,
,TKY035,,Süphaun Dag,Süphaun Dag II,,,,,,
,TKY058,,Süphaun Dag,Süphaun Dag Group General,,,,,,
,ken044,x,Suregei-Asille,,,,,,,
,ken045,,Suregei-Asille,,,,,,,
,ken051,,Suregei-Asille,,,,,,,
,KEN088,,Suswa,Suswa Group General,,,,,,
,ken046,x,,,,,,,,
,ken047,,,,,,,,,
,ARM022,x,Syunik,Syunik Group General,,,,,,
,ARM033,,Syunik,Syunik 1,,,,,,
,ARM034,,Syunik,Syunik 2,,,,,,
,ARM035,,Syunik,Syunik 3,,,,,,
,ARG055,x,Telesen,Telesen 1,,,,,,
,ARG056,,Telesen,Telesen 2,,,,,,
,UWY022,x,Teton Pass,Teton Pass Variety 1,,,,,,
,UWY023,,Teton Pass,Teton Pass Variety 2,,,,,,
,JPN055,x,Tokachi,Tokachi Group General,,,,,,
,JPN120,,Tokachi,Tokachi I,,,,,,
,JPN121,,Tokachi,Tokachi II,,,,,,
,HUN014,,Tokaj,Tokaj Upper Section,,,,,,
,HUN015,,Tokaj,Tokaj Lower Section,,,,,,
,HUN013,x,Tolcsva,Tolcsva Group General,,,,,,
